SGB_ID,Genome_Name,Study,Sample_ID,Country,Westernized,Body_Site,Age_Category
1836,BackhedF_2015__SID130_M__bin.19,BackhedF_2015,SID130_M,SWE,Yes,Stool,Adult
1838,LiJ_2014__MH0402__bin.77,LiJ_2014,MH0402,DNK,Yes,Stool,Adult
2077,BackhedF_2015__SID544_M__bin.9,BackhedF_2015,SID544_M,SWE,Yes,Stool,Adult
4063,FengQ_2015__SID530041__bin.3,FengQ_2015,SID530041,AUT,Yes,Stool,Senior
4063,XieH_2016__YSZC12003_37137__bin.23,XieH_2016,YSZC12003_37137,GBR,Yes,Stool,Adult
4063,XieH_2016__YSZC12003_37210__bin.17,XieH_2016,YSZC12003_37210,GBR,Yes,Stool,Adult
14255,BritoIL_2016__M1.1.ST__bin.88,BritoIL_2016,M1.1.ST,FJI,No,Stool,Newborn
14255,HMP_2012__SRS049959__bin.18,HMP_2012,SRS049959,USA,Yes,Stool,Adult
14255,LiuW_2016__SRR3993055__bin.65,LiuW_2016,SRR3993055,MNG,No,Stool,Adult
14255,LiuW_2016__SRR3993059__bin.33,LiuW_2016,SRR3993059,MNG,No,Stool,Adult
1584,LoombaR_2017__SID1022_aav__bin.20,LoombaR_2017,SID1022_aav,USA,Yes,Stool,Adult
1961,BackhedF_2015__SID263_12M__bin.24,BackhedF_2015,SID263_12M,SWE,Yes,Stool,Child
1961,HMP_2012__SRS014235__bin.13,HMP_2012,SRS014235,USA,Yes,Stool,Adult
1961,HMP_2012__SRS014613__bin.9,HMP_2012,SRS014613,USA,Yes,Stool,Adult
1961,HMP_2012__SRS014923__bin.58,HMP_2012,SRS014923,USA,Yes,Stool,Adult
1961,HMP_2012__SRS019582__bin.12,HMP_2012,SRS019582,USA,Yes,Stool,Adult
1961,HMP_2012__SRS019685__bin.10,HMP_2012,SRS019685,USA,Yes,Stool,Adult
1961,HMP_2012__SRS050925__bin.9,HMP_2012,SRS050925,USA,Yes,Stool,Adult
1961,HMP_2012__SRS064276__bin.6,HMP_2012,SRS064276,USA,Yes,Stool,Adult
1961,VogtmannE_2016__MMRS86178473ST-27-0-0__bin.18,VogtmannE_2016,MMRS86178473ST-27-0-0,USA,Yes,Stool,Adult
2080,ZeeviD_2015__PNP_Main_481__bin.9,ZeeviD_2015,PNP_Main_481,ISR,Yes,Stool,Adult
2083,ZellerG_2014__CCMD42428553ST-21-0__bin.37,ZellerG_2014,CCMD42428553ST-21-0,DEU,Yes,Stool,Senior
2090,HMP_2012__SRS022137__bin.5,HMP_2012,SRS022137,USA,Yes,Stool,Adult
2090,HMP_2012__SRS055982__bin.16,HMP_2012,SRS055982,USA,Yes,Stool,Adult
2091,BritoIL_2016__W1.27.ST__bin.1,BritoIL_2016,W1.27.ST,FJI,No,Stool,Adult
2091,HMP_2012__SRS011061__bin.29,HMP_2012,SRS011061,USA,Yes,Stool,Adult
2091,HMP_2012__SRS011134__bin.15,HMP_2012,SRS011134,USA,Yes,Stool,Adult
2091,HMP_2012__SRS022609__bin.67,HMP_2012,SRS022609,USA,Yes,Stool,Adult
2091,LeChatelierE_2013__MH0198__bin.6,LeChatelierE_2013,MH0198,DNK,Yes,Stool,Adult
2091,LiJ_2014__MH0378__bin.31,LiJ_2014,MH0378,DNK,Yes,Stool,Adult
2091,LiJ_2014__O2.UC40-1__bin.93,LiJ_2014,O2.UC40-1,ESP,Yes,Stool,Adult
2091,NielsenHB_2014__O2_UC40_0__bin.26,NielsenHB_2014,O2_UC40_0,ESP,Yes,Stool,Adult
2091,NielsenHB_2014__O2_UC40_2__bin.23,NielsenHB_2014,O2_UC40_2,ESP,Yes,Stool,Adult
2091,NielsenHB_2014__V1_CD29_0__bin.45,NielsenHB_2014,V1_CD29_0,ESP,Yes,Stool,Adult
2092,LeChatelierE_2013__MH0083__bin.17,LeChatelierE_2013,MH0083,DNK,Yes,Stool,Adult
2092,LiJ_2014__MH0308__bin.65,LiJ_2014,MH0308,DNK,Yes,Stool,Adult
2092,NielsenHB_2014__MH0083__bin.7,NielsenHB_2014,MH0083,DNK,Yes,Stool,Adult
2092,XieH_2016__YSZC12003_36118__bin.88,XieH_2016,YSZC12003_36118,GBR,Yes,Stool,Senior
2092,ZeeviD_2015__PNP_Main_357__bin.28,ZeeviD_2015,PNP_Main_357,ISR,Yes,Stool,Adult
2092,ZeeviD_2015__PNP_Main_7__bin.41,ZeeviD_2015,PNP_Main_7,ISR,Yes,Stool,Adult
2092,ZeeviD_2015__PNP_Validation_31__bin.33,ZeeviD_2015,PNP_Validation_31,ISR,Yes,Stool,Adult
2095,HMP_2012__SRS021948__bin.51,HMP_2012,SRS021948,USA,Yes,Stool,Adult
2095,LiJ_2014__MH0367__bin.28,LiJ_2014,MH0367,DNK,Yes,Stool,Adult
2095,LoombaR_2017__SID0009_rhg__bin.16,LoombaR_2017,SID0009_rhg,USA,Yes,Stool,Adult
2095,LoombaR_2017__SID5362_xgk__bin.26,LoombaR_2017,SID5362_xgk,USA,Yes,Stool,Adult
2095,LouisS_2016__AS66_18__bin.12,LouisS_2016,AS66_18,DEU,Yes,Stool,Adult
2095,ZeeviD_2015__PNP_Main_350__bin.36,ZeeviD_2015,PNP_Main_350,ISR,Yes,Stool,Adult
2097,Bengtsson-PalmeJ_2015__TRAVELRES11__bin.77,Bengtsson-PalmeJ_2015,TRAVELRES11,SWE,Yes,Stool,Adult
2097,Bengtsson-PalmeJ_2015__TRAVELRES12__bin.95,Bengtsson-PalmeJ_2015,TRAVELRES12,SWE,Yes,Stool,Adult
2106,Bengtsson-PalmeJ_2015__TRAVELRES66__bin.79,Bengtsson-PalmeJ_2015,TRAVELRES66,SWE,Yes,Stool,Adult
2107,LiSS_2016__FAT_010-22-84-0__bin.12,LiSS_2016,FAT_010-22-84-0,NLD,Yes,Stool,Adult
2107,VogtmannE_2016__MMRS11664448ST-27-0-0__bin.52,VogtmannE_2016,MMRS11664448ST-27-0-0,USA,Yes,Stool,Adult
2107,XieH_2016__YSZC12003_37331__bin.91,XieH_2016,YSZC12003_37331,GBR,Yes,Stool,Senior
2107,ZeeviD_2015__PNP_Main_646__bin.17,ZeeviD_2015,PNP_Main_646,ISR,Yes,Stool,Adult
2109,FengQ_2015__SID530743__bin.20,FengQ_2015,SID530743,AUT,Yes,Stool,Senior
2124,Bengtsson-PalmeJ_2015__TRAVELRES11__bin.117,Bengtsson-PalmeJ_2015,TRAVELRES11,SWE,Yes,Stool,Adult
2124,Bengtsson-PalmeJ_2015__TRAVELRES12__bin.114,Bengtsson-PalmeJ_2015,TRAVELRES12,SWE,Yes,Stool,Adult
2124,CosteaPI_2017__mickey1-11-0-0__bin.23,CosteaPI_2017,mickey1-11-0-0,DEU,Yes,Stool,Adult
2124,CosteaPI_2017__mickey1-11-7-0__bin.10,CosteaPI_2017,mickey1-11-7-0,DEU,Yes,Stool,Adult
2124,LeChatelierE_2013__MH0198__bin.70,LeChatelierE_2013,MH0198,DNK,Yes,Stool,Adult
2124,LiJ_2014__MH0252__bin.88,LiJ_2014,MH0252,DNK,Yes,Stool,Adult
